Number,Name,Type_1,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
606,Beheeyem,14,142,46,50,48,85,62,19,4,0,2,1,3,8,0,10,181,13,1
607,Litwick,8,31,21,10,29,41,27,3,4,0,8,1,3,0,0,2,23,26,4
608,Lampent,8,83,31,15,34,66,32,32,4,0,0,1,3,0,0,5,88,13,3
609,Chandelure,8,162,31,30,62,91,59,57,4,0,0,1,3,0,0,10,180,5,3
610,Axew,2,59,18,61,34,8,13,34,4,0,3,1,3,10,0,5,109,11,0
611,Fraxure,2,96,37,84,44,17,22,44,4,0,3,1,3,10,0,10,187,8,0
612,Haxorus,2,171,47,96,62,36,41,71,4,0,9,1,3,10,0,18,317,5,0
613,Cubchoo,11,47,26,45,15,36,13,19,4,0,1,1,3,5,0,4,63,15,0
614,Beartic,11,142,63,81,53,45,50,29,4,0,8,1,3,5,0,26,373,8,9
615,Cryogonal,11,142,41,25,7,66,83,79,4,0,1,0,4,9,0,11,338,2,6
616,Shelmet,0,47,21,15,57,17,37,7,4,0,7,1,3,1,0,3,56,27,6
617,Accelgor,0,148,51,45,15,70,32,98,4,0,7,1,3,1,0,7,147,11,3
618,Stunfisk,10,131,73,41,56,56,65,12,4,0,2,1,3,12,0,6,80,11,13
619,Mienfoo,5,73,17,59,24,31,22,42,4,0,9,1,3,5,0,9,119,25,0
620,Mienshao,5,157,36,89,34,66,32,79,4,0,6,1,3,5,0,14,185,5,0
621,Druddigon,2,142,48,85,62,36,59,27,4,0,7,1,3,3,0,16,336,5,0
622,Golett,10,45,30,49,24,12,22,15,4,0,3,0,4,9,0,10,301,26,1
623,Golurk,10,140,59,88,53,31,50,32,4,0,3,0,4,9,0,28,382,13,1
624,Pawniard,1,68,17,59,44,17,13,37,4,0,7,1,3,8,0,4,74,15,1
625,Bisharp,1,146,36,89,67,36,41,47,4,0,7,1,3,8,0,16,264,5,1
626,Bouffalant,12,146,63,81,64,17,62,32,4,0,2,1,3,5,0,16,304,5,9
627,Rufflet,12,73,41,57,24,14,22,37,4,0,8,1,7,6,0,4,77,26,12
628,Braviary,12,157,66,87,48,33,45,57,4,0,7,1,7,6,0,15,203,8,12
629,Vullaby,1,83,41,30,48,22,37,37,4,0,2,1,0,6,0,4,67,26,12
630,Mandibuzz,1,157,74,40,70,31,62,57,4,0,2,1,0,6,0,12,195,8,12
631,Heatmor,6,141,56,70,40,73,38,42,4,0,7,1,3,5,0,14,246,13,0
632,Durant,0,141,29,80,74,25,20,82,4,0,4,1,3,1,0,2,174,13,7
633,Deino,1,43,23,40,24,22,22,17,4,0,1,1,3,3,0,7,106,5,9
634,Zweilous,1,102,43,59,44,41,41,35,4,0,1,1,3,3,0,14,225,5,9
635,Hydreigon,1,178,62,76,62,85,59,72,4,0,1,1,3,3,0,18,346,5,0
636,Larvesta,0,78,26,59,29,27,27,37,4,0,8,1,3,1,0,11,158,5,7
637,Volcarona,0,173,56,35,39,90,69,74,4,0,8,1,3,1,0,16,215,1,2
638,Cobalion,16,177,61,64,83,62,43,81,4,1,1,0,4,11,0,21,370,0,9
639,Terrakion,15,177,61,90,62,47,59,81,4,1,4,0,4,11,0,19,373,0,9
640,Virizion,9,177,61,64,46,62,81,81,4,1,3,0,4,11,0,20,356,0,9
641,Tornadus,7,177,50,83,44,85,50,84,4,1,3,1,7,11,0,15,257,0,3
642,Thundurus,3,177,50,83,44,85,50,84,4,1,1,1,7,11,0,15,254,0,3
643,Reshiram,2,181,66,85,67,92,77,66,4,1,8,0,4,11,0,31,382,0,12
644,Zekrom,2,181,66,97,79,84,66,66,4,1,0,0,4,11,0,29,385,0,0
645,Landorus,10,178,59,89,62,82,50,75,4,1,2,1,7,11,0,15,262,0,3
646,Kyurem,2,179,81,91,62,88,59,70,4,1,4,0,4,11,0,30,381,0,0
647,Keldeo,17,177,61,47,62,87,59,81,4,0,9,0,4,11,0,14,221,0,9
648,Meloetta,12,178,66,52,50,86,80,66,4,0,8,0,4,11,0,5,47,0,1
649,Genesect,0,178,42,85,64,84,62,73,4,0,6,0,4,11,0,15,286,0,1
650,Chespin,9,53,27,36,39,25,18,17,5,0,3,1,6,5,0,3,67,5,0
651,Quilladin,9,94,32,53,64,32,30,34,5,0,3,1,6,5,0,6,159,5,0
652,Chesnaught,9,167,58,78,81,49,45,41,5,0,3,1,6,5,0,16,298,5,0
653,Fennekin,6,49,12,20,15,38,32,37,5,0,7,1,6,5,0,3,69,5,9
654,Braixen,6,95,30,34,32,62,41,50,5,0,7,1,6,5,0,10,94,5,0
655,Delphox,6,169,46,44,46,81,66,78,5,0,7,1,6,5,0,15,193,5,0
656,Froakie,17,54,13,31,15,38,17,48,5,0,1,1,6,12,0,2,50,5,9
657,Frogadier,17,94,25,38,26,57,28,71,5,0,1,1,6,12,0,5,79,5,1
658,Greninja,17,167,43,69,41,71,42,92,5,0,1,1,6,12,0,15,196,5,1
659,Bunnelby,12,14,10,13,13,10,9,34,5,0,2,1,3,5,0,3,35,32,0
660,Diggersby,12,103,56,31,50,27,47,55,5,0,2,1,3,5,0,10,207,17,0
661,Fletchling,12,32,17,25,18,17,11,39,5,0,7,1,3,6,0,2,11,32,12
662,Fletchinder,6,87,33,48,29,32,24,61,5,0,7,1,3,6,0,6,101,15,12
663,Talonflame,6,151,49,55,45,49,40,95,5,0,7,1,3,6,0,12,143,5,12
664,Scatterbug,0,5,10,12,15,6,2,15,5,0,0,1,3,1,0,2,18,32,7
665,Spewpa,0,8,17,4,34,6,3,9,5,0,0,1,3,1,0,2,62,15,4
666,Vivillon,0,97,51,27,24,62,22,65,5,0,0,1,3,1,0,12,105,5,2
667,Litleo,6,82,33,25,32,48,26,49,5,0,2,1,1,5,0,5,90,29,9
668,Pyroar,6,154,57,43,46,77,38,80,5,0,2,1,1,5,0,15,283,9,9
669,Flabébé,4,45,16,14,14,37,49,21,5,0,8,1,0,4,0,0,0,30,3
670,Floette,4,84,25,20,21,50,64,31,5,0,8,1,0,4,0,1,5,15,3
671,Florges,4,174,49,40,42,80,87,52,5,0,8,1,0,4,0,11,72,5,3
672,Skiddo,9,73,37,40,22,38,29,31,5,0,2,1,3,5,0,9,166,27,9
673,Gogoat,9,168,80,72,36,67,51,45,5,0,2,1,3,5,0,17,300,5,9
674,Pancham,5,71,38,56,36,23,20,22,5,0,8,1,3,5,0,5,59,29,0
675,Pangoro,5,148,63,88,51,44,42,35,5,0,8,1,3,5,0,21,334,9,1
676,Furfrou,12,132,46,54,34,41,59,76,5,0,8,1,3,5,0,12,155,23,9
677,Espurr,14,76,33,23,28,39,32,45,5,0,4,1,3,5,0,2,27,26,0
678,Meowstic,14,127,45,23,49,57,51,78,5,0,8,1,3,5,0,5,63,11,0
679,Honedge,16,61,17,54,67,12,10,8,5,0,2,1,3,9,0,7,14,25,4
680,Doublade,16,115,30,81,90,22,21,15,5,0,2,1,3,9,0,8,34,13,8
681,Aegislash,16,162,31,25,90,27,86,37,5,0,2,1,3,9,0,17,235,5,4
682,Spritzee,4,69,49,27,34,39,37,5,5,0,5,1,3,4,0,1,2,27,3
683,Aromatisse,4,124,67,47,46,69,58,9,5,0,5,1,3,4,0,7,99,19,1
684,Swirlix,4,69,33,23,40,35,29,28,5,0,8,1,3,4,0,3,27,27,5
685,Slurpuff,4,137,53,54,58,58,45,49,5,0,8,1,3,4,0,7,35,19,1
686,Inkay,1,36,24,29,27,14,19,24,5,0,1,1,3,12,0,3,27,26,11
687,Malamar,1,139,57,66,60,43,45,50,5,0,1,1,3,12,0,15,218,12,4
688,Binacle,15,48,14,27,41,16,28,29,5,0,2,1,3,14,0,4,166,15,8
689,Barbaracle,15,152,43,76,75,30,55,45,5,0,2,1,3,14,0,13,307,5,8
690,Skrelp,13,59,21,35,34,36,32,10,5,0,2,1,3,12,0,4,52,30,4
691,Dragalge,13,147,36,50,62,67,78,23,5,0,2,1,3,12,0,18,283,7,4
692,Clauncher,17,64,21,28,36,34,35,23,5,0,1,1,3,12,0,4,61,30,7
693,Clawitzer,17,152,42,48,60,84,58,36,5,0,1,1,3,12,0,13,184,7,10
694,Helioptile,3,37,16,14,9,37,16,47,5,0,9,1,3,10,0,4,43,26,0
695,Heliolisk,3,138,33,30,26,77,61,82,5,0,9,1,3,10,0,10,126,11,0
696,Tyrunt,15,79,29,63,50,22,18,27,5,0,2,1,6,10,0,7,150,5,0
697,Tyrantrum,15,163,53,86,78,44,31,48,5,0,7,1,6,10,0,25,374,5,0
698,Amaura,15,79,48,34,24,42,35,25,5,0,1,1,6,10,0,13,146,5,9
699,Aurorus,15,163,80,52,46,69,60,35,5,0,1,1,6,10,0,27,367,5,9
700,Sylveon,4,165,63,40,39,78,82,37,5,0,5,1,6,5,0,10,137,5,9
701,Hawlucha,5,152,49,66,48,49,35,90,5,0,3,1,3,8,0,7,129,14,1
702,Dedenne,3,108,38,33,31,56,39,75,5,0,9,1,3,5,0,1,16,25,0
703,Carbink,15,152,21,25,90,27,86,29,5,0,4,0,4,4,0,2,40,8,6
704,Goomy,2,43,17,25,11,31,45,19,5,0,6,1,3,3,0,2,20,5,10
705,Sliggoo,2,117,39,50,27,57,74,37,5,0,6,1,3,3,0,7,107,5,10
706,Goodra,2,178,60,72,44,78,86,57,5,0,6,1,3,3,0,20,341,5,0
707,Klefki,16,130,28,54,63,55,56,52,5,0,4,1,3,9,0,1,22,11,6
708,Phantump,8,51,15,45,22,27,32,17,5,0,2,1,3,7,0,3,50,15,3
709,Trevenant,8,134,56,81,49,41,52,33,5,0,2,1,3,7,0,15,266,8,11
710,Pumpkaboo,8,66,20,41,44,21,27,30,5,0,2,1,3,0,0,3,35,15,6
711,Gourgeist,8,147,36,64,81,34,45,61,5,0,2,1,3,0,0,17,193,8,4
712,Bergmite,11,46,26,44,57,10,8,8,5,0,1,1,3,10,0,10,310,26,9
713,Avalugg,11,158,63,84,94,21,19,8,5,0,1,1,3,10,0,20,393,7,9
714,Noibat,7,17,12,10,11,22,13,32,5,0,6,1,3,6,0,4,59,26,12
715,Noivern,7,170,56,45,53,67,50,93,5,0,6,1,3,6,0,15,289,5,12
716,Xerneas,4,181,82,92,64,89,64,73,5,1,1,0,4,11,0,30,364,5,9
717,Yveltal,1,181,82,92,64,89,64,73,5,1,7,0,4,11,0,42,360,5,12
718,Zygarde,2,178,72,72,80,56,62,70,5,1,3,0,4,11,0,39,378,0,10
719,Diancie,15,178,21,72,90,70,86,29,5,1,5,0,4,11,1,6,66,0,3
720,Hoopa,14,178,51,81,34,92,82,47,5,1,6,0,4,11,0,4,67,0,6
721,Volcanion,6,178,51,81,79,88,59,47,5,1,2,0,4,11,0,17,353,0,9
